,training_time,test_accuracy,test_score,test_average_loss,test_average_time,Model,Dataset
0,7.00076150894165,0.6935483870967742,0.7450365726227794,0.7821830626456968,0.0001690656908096,meanMLP,FBIRN
1,4.563283443450928,0.7868852459016393,0.8496732026143792,0.4959416311295306,0.0001688042625052,meanMLP,FBIRN
2,6.222313642501831,0.639344262295082,0.6982758620689655,0.7653455890592982,0.000175335368172,meanMLP,FBIRN
3,3.944507360458374,0.6557377049180327,0.8701298701298701,0.5765071931432505,0.0002154952189961,meanMLP,FBIRN
4,5.50757098197937,0.7377049180327869,0.8224400871459695,0.517852783203125,0.000226505467149,meanMLP,FBIRN
0,65.08976244926453,0.6451612903225806,0.7293625914315569,0.0113086623530234,0.0024502200465048,BolT,FBIRN
1,68.56849884986877,0.8032786885245902,0.8572984749455337,0.0080825867222957,0.0024216487759449,BolT,FBIRN
2,75.36863994598389,0.6229508196721312,0.6821120689655172,0.0134934509386781,0.0024348204253149,BolT,FBIRN
3,67.01976990699768,0.7704918032786885,0.8668831168831168,0.0088728832416847,0.0024228291433365,BolT,FBIRN
4,112.91274762153624,0.7540983606557377,0.818082788671024,0.011800259840293,0.002455855979294,BolT,FBIRN
0,54.298195123672485,0.8103448275862069,0.897554527428949,0.4178329116996677,0.0021596763325833,meanMLP,HCP
1,58.79081702232361,0.8128654970760234,0.8956310679611651,0.4209310743543837,0.0021112481055901,meanMLP,HCP
2,60.209237575531006,0.8197674418604651,0.8789003436426116,0.4394610149915828,0.0021059305168861,meanMLP,HCP
3,61.58908724784851,0.7953216374269005,0.8682626538987688,0.4567996911835252,0.0021381127206902,meanMLP,HCP
4,55.37751054763794,0.8430232558139535,0.9257070493879274,0.3699589773666027,0.0020801133887712,meanMLP,HCP
0,2382.2467329502106,0.8620689655172413,0.9599471249173828,0.0212586950724837,0.0270986885860048,BolT,HCP
1,2383.1380503177643,0.8888888888888888,0.9597372929754426,0.0183764980201832,0.0255304902617694,BolT,HCP
2,2059.352068901062,0.8837209302325582,0.9282474226804124,0.0249131598271602,0.0271530594936637,BolT,HCP
3,2174.665668964386,0.8596491228070176,0.9481532147742818,0.0233203992247581,0.0270545970626741,BolT,HCP
4,2283.2558603286743,0.9186046511627908,0.9766427465878712,0.0140662611527151,0.0255766524824985,BolT,HCP
0,,,0.6886101961135864,,,SwiFT,FBIRN
1,,,0.5319865345954895,,,SwiFT,FBIRN
2,,,0.6640712022781372,,,SwiFT,FBIRN
3,,,0.7272727489471436,,,SwiFT,FBIRN
4,,,0.5785634517669678,,,SwiFT,FBIRN
0,,,0.6468129754066467,,,SwiFT (pretrained),FBIRN
1,,,0.6430976390838623,,,SwiFT (pretrained),FBIRN
2,,,0.6557285785675049,,,SwiFT (pretrained),FBIRN
3,,,0.6756453514099121,,,SwiFT (pretrained),FBIRN
4,,,0.5578002333641052,,,SwiFT (pretrained),FBIRN
0,,,0.9598715901374817,,,SwiFT,HCP
1,,,0.9392510652542114,,,SwiFT,HCP
2,,,0.9188316464424133,,,SwiFT,HCP
3,,,0.9188640713691711,,,SwiFT,HCP
4,,,0.9438581466674805,,,SwiFT,HCP
